SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
SURYAJYOTI,EQ,36,36.75,36,36.5,36.75,35.1,1850,67525,25-JUN-2006,
SURYALAXMI,EQ,104.9,105,101.1,104.2,104.3,100.85,7063,732540.6,25-JUN-2006,
SURYAPHARM,EQ,91.1,93.25,91.1,92.1,91.65,91.25,6936,638597.1,25-JUN-2006,
SURYAROSNI,EQ,67.5,69.6,67.5,68.95,68.6,67.75,1904,131251.05,25-JUN-2006,
SUTLEJINDS,EQ,144,144,141.5,142.8,142.25,141.5,5774,825031.85,25-JUN-2006,
SUVEN,EQ,64.95,65,64.75,64.95,65,66.55,250,16235,25-JUN-2006,
SUZLON,EQ,938,950,916,930.4,918,933.4,17551,16417488.45,25-JUN-2006,
SWARAJENG,EQ,149.5,149.5,140,143.1,140.2,139.6,1123,160596,25-JUN-2006,
SYNDIBANK,EQ,57.5,58.25,56.9,57.05,57.05,56.75,115676,6629644.65,25-JUN-2006,
TAJGVK,EQ,201,205.9,200,201.7,200,199.85,4090,826492.95,25-JUN-2006,
TATACHEM,EQ,223,224,217,217.75,217,216.6,31393,6848050.45,25-JUN-2006,
TATACOFFEE,EQ,290,326.35,290,326.35,326.35,271.95,3310,1060642.35,25-JUN-2006,
TATAELXSI,EQ,187.95,188.9,185.25,186.8,185.25,186.7,3290,616640.65,25-JUN-2006,
TATAINFO,EQ,189,191,186.3,189.25,191,186.25,21676,4090515.6,25-JUN-2006,
TATAINVEST,EQ,351,351,338,340.1,342.95,340.15,1758,598661.6,25-JUN-2006,
TATAMETALI,EQ,156,163,155,159.75,163,157.45,6846,1093175.9,25-JUN-2006,
TATAMOTORS,EQ,785,799,770.2,775.8,770.5,777.2,112753,87912134.95,25-JUN-2006,
TATAPOWER,EQ,462.8,462.8,447.2,449.7,447.3,451.55,13489,6090245,25-JUN-2006,
TATASPONGE,EQ,114,124.6,114,120.5,120.1,121.35,8168,984513.6,25-JUN-2006,
TATASTEEL,EQ,518.9,535.9,515.5,532.35,529.35,512.6,1695821,898982033.85,25-JUN-2006,
TATATEA,EQ,776.4,776.4,758,760.85,761.05,754.8,34798,26585661.6,25-JUN-2006,
TCS,EQ,1650,1714.9,1650,1700.35,1698.45,1694.85,32940,56066445.45,25-JUN-2006,
TELEDATAIN,EQ,13,13.9,13,13.55,13.5,13.4,209340,2856687.65,25-JUN-2006,
TEXMACOLTD,EQ,629.45,630,629.45,629.9,630,607.55,310,195267.5,25-JUN-2006,
TFCILTD,EQ,11.65,11.65,10.25,11.25,11.15,11.25,12406,139065.8,25-JUN-2006,
THERMAX,EQ,270.7,270.7,260,263.9,264.95,258.8,9524,2513916.45,25-JUN-2006,
THIRUSUGAR,EQ,307.95,322.45,307.95,317.35,321.4,307.9,324,103058.05,25-JUN-2006,
THOMASCOOK,EQ,524,524,508,511.55,512.8,505.85,225,115742.8,25-JUN-2006,
TIL,EQ,212,219.8,212,216.9,217.4,206.95,30,6507,25-JUN-2006,
TIMESGTY,EQ,18,18,18,18,18,17.15,265,4770,25-JUN-2006,
TINPLATE,EQ,72,72,69.65,70.2,70,69.05,2336,164411.65,25-JUN-2006,
TIPSINDLTD,EQ,25.05,25.05,25.05,25.05,25.05,23.9,200,5010,25-JUN-2006,
TIRUMALCHM,BE,136.75,137.95,136.6,137.1,136.6,135.6,883,121081.05,25-JUN-2006,
TITAN,EQ,610.5,620,600.5,606.45,601,603.1,75157,45797924.55,25-JUN-2006,
TITANOCOMP,EQ,213.75,216.75,209,214.1,216.75,209.8,1006,215389,25-JUN-2006,
TNPETRO,EQ,17,17.25,16.75,17,17.05,16.8,8776,149177.25,25-JUN-2006,
TNPL,EQ,96.7,100.9,95.6,99.1,99.45,94.8,26343,2602047.6,25-JUN-2006,
TNTELE,EQ,11,11,11,11,11,11,1150,12650,25-JUN-2006,
TODAYS,EQ,49.6,58.25,43.15,56.4,56.45,48.8,63890,3602031.45,25-JUN-2006,
TOKYOPLAST,EQ,5.95,5.95,5.95,5.95,5.95,5.8,1,5.95,25-JUN-2006,
TORNTPHARM,EQ,195,197.5,192.05,194.05,193,193.25,1137,221347.7,25-JUN-2006,
TORRENTAEC,EQ,183.25,191,183.25,190.6,191,187.9,117,22182,25-JUN-2006,
TORRENTSEC,EQ,408,408,408,408,408,394.4,15,6120,25-JUN-2006,
TRENT,EQ,745,752,732,745.1,732,728.05,50,37254,25-JUN-2006,
TRIGYN,EQ,14.65,15.2,14.65,15.05,15.2,14.85,500,7445,25-JUN-2006,
TRIVENI,EQ,80.8,83.95,80.8,82.35,82,80.75,256323,21175755.1,25-JUN-2006,
TTKPRESTIG,EQ,118,118,109,111.1,112.25,108,2080,232076,25-JUN-2006,
TTML,EQ,21.5,21.6,21,21.05,21.1,21.05,518872,10986473.15,25-JUN-2006,
TUBEINVEST,EQ,82.7,83.65,81,81.35,81.5,80.15,4863,397749.9,25-JUN-2006,
TULIP,EQ,274,274.1,268.3,271.65,272.5,265.4,20810,5653219.65,25-JUN-2006,
TV18,EQ,520,520,500,509.35,504,513.35,4396,2250288.15,25-JUN-2006,
TVSELECT,EQ,42.8,44.8,42.8,44.5,44.8,43.35,801,35462.7,25-JUN-2006,
TVSMOTOR,EQ,109.4,109.4,106,106.55,106.3,105.8,42172,4504476.25,25-JUN-2006,
TVTODAY,EQ,94.5,98,92.35,93.85,94.1,93.4,23225,2190045.85,25-JUN-2006,
UCALFUEL,EQ,112.55,121,112.5,118.75,120,111.9,12433,1466825.95,25-JUN-2006,
UCOBANK,EQ,18,18.3,17.9,18.15,18.2,18.1,93627,1693420.95,25-JUN-2006,
ULTRACEMCO,EQ,706,710,695,698.1,695,713.4,1585,1109204.15,25-JUN-2006,
UMITL,EQ,4.9,5.45,4.9,5.15,5.45,5.15,145,744.95,25-JUN-2006,
UNICHEMLAB,EQ,234,234,234,234,234,234.55,110,25740,25-JUN-2006,
UNIENTER,EQ,24.9,25,23.8,23.8,23.8,24.45,101,2406.1,25-JUN-2006,
UNIONBANK,EQ,95.5,96.5,94.45,94.75,94.6,94.45,21260,2017603.7,25-JUN-2006,
UNIPHOS,EQ,247.15,253.9,247,248.65,247,249.35,925,230034,25-JUN-2006,
UNITECH,EQ,177.9,177.9,177.9,177.9,177.9,169.4,1180,209922,25-JUN-2006,
UNITY,EQ,458,458,446.1,450.75,449,451.95,11041,4997574.65,25-JUN-2006,
UNIVCABLES,EQ,75.2,85.9,75.2,83.9,84,83.7,205,17116.25,25-JUN-2006,
UNIWESTBNK,EQ,23.1,24,22.85,24,23.75,23.75,9312,222029.1,25-JUN-2006,
UPERGANGES,EQ,184,184,174,174.95,174.1,183.15,6473,1144287.4,25-JUN-2006,
US64BONDS,N1,99.6,100.6,99.6,100.6,100.6,100.61,1701,170571.6,25-JUN-2006,
USHAMART,EQ,162.5,162.5,160,160.85,160,159.25,8989,1447820.8,25-JUN-2006,
UTIBANK,EQ,295,295,284,286.45,286,276.45,54705,15750338.3,25-JUN-2006,
UTTAMSTL,EQ,33.05,34.65,32.85,34.3,34.5,32.6,146084,4975648.3,25-JUN-2006,
UTTAMSUGAR,EQ,203,208,200,201.7,201.7,200.1,10360,2094586.95,25-JUN-2006,
UTVSOF,EQ,165.75,169,163.15,164.9,164.6,165.05,867,143505.25,25-JUN-2006,
VAIBHAVGEM,EQ,386.3,386.3,386.3,386.3,386.3,358.1,25,9657.5,25-JUN-2006,
VAKRANSOFT,EQ,150,150,144.5,147.35,147.1,145.6,4997,737654.4,25-JUN-2006,
VARDHACRLC,EQ,6.4,6.45,6.25,6.3,6.35,6.25,9896,62707.3,25-JUN-2006,
VARDMNPOLY,EQ,87,87,87,87,87,85.95,25,2175,25-JUN-2006,
VARUNSHIP,EQ,73.95,74.4,72.65,73.05,73,72.65,19240,1409295.15,25-JUN-2006,
VDOCONAPPL,EQ,29.25,29.5,28.8,29.3,29.25,29.05,2111,61886.35,25-JUN-2006,
