SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
LAXMIMACH,EQ,3510,3550,3510,3549.1,3550,3580.75,74,260175,15-NOV-2003,
LCCINFOTEC,BE,2.4,2.8,2.4,2.8,2.65,2.8,725,1826.25,15-NOV-2003,
LEADEDSYS,EQ,14,14.75,13.6,14.2,14.55,14.35,23410,334878.4,15-NOV-2003,
LGBROS,EQ,340.7,348,340.65,346.8,347.9,336.8,1110,381013.45,15-NOV-2003,
LIBERTSHOE,EQ,78,80.9,77.6,80.7,80.5,77.1,1513,121168.55,15-NOV-2003,
LICHSGFIN,EQ,175,178.8,172,176,178.5,172.9,236179,41259769.3,15-NOV-2003,
LIQUIDBEES,EQ,1000,1000,1000,1000,1000,999.95,700,700000,15-NOV-2003,
LLOYDFIN,BE,0.7,0.7,0.7,0.7,0.7,0.65,1001,700.7,15-NOV-2003,
LLOYDSTEEL,EQ,4.75,4.9,4.55,4.8,4.85,4.65,131738,624250.5,15-NOV-2003,
LML,EQ,61,62.95,60,61.7,62.95,60.45,129498,7906956.8,15-NOV-2003,
LUMAXIND,EQ,55.5,60,55.5,58.2,58.35,55.2,20202,1162951.85,15-NOV-2003,
LUPIN,BE,589,600,586.7,593.1,593.9,593.45,6656,3934736.15,15-NOV-2003,
LYKALABS,EQ,38,39.65,37.35,39,39,37.8,46914,1814282.7,15-NOV-2003,
M&M,EQ,325.8,340,320.55,330.05,333.7,324.2,347329,113310143.6,15-NOV-2003,
MAARSOFTW,EQ,11.25,11.35,11.1,11.3,11.3,11.5,14430,162238.1,15-NOV-2003,
MACMILLAN,EQ,220.8,220.8,218,219.3,220.7,217.75,384,84294.8,15-NOV-2003,
MADRASCEM,EQ,732,751.5,730,741.5,751.5,733.15,660,487479,15-NOV-2003,
MADRASFERT,EQ,19.3,19.3,18.6,18.85,19,18.5,24805,472048.25,15-NOV-2003,
MAHAVIRSPG,EQ,106.2,108,101.5,105.05,106.9,105.4,71303,7435540.85,15-NOV-2003,
MAHINDUGIN,EQ,18.3,19.75,18.25,19.7,19.7,17.95,62467,1217509.35,15-NOV-2003,
MAHSCOOTER,EQ,131.75,138,131,136.95,138,132.65,2789,377310.9,15-NOV-2003,
MAHSEAMLES,EQ,203,211.85,203,209.2,209.9,202.35,8665,1801742.9,15-NOV-2003,
MALWACOTT,EQ,32,32.65,32,32.6,32.6,32.6,250,8091.25,15-NOV-2003,
MANALIPET,BE,4.7,4.7,4.35,4.4,4.35,4.5,3250,14887.5,15-NOV-2003,
MANGLMCEM,BE,11.75,11.8,11.6,11.6,11.6,11.95,1750,20355,15-NOV-2003,
MANGTIMBER,BE,3.55,4.1,3.5,4.1,4.1,3.85,3255,12217.7,15-NOV-2003,
MARALOVER,EQ,17.9,20.35,17.9,20.05,20.35,18.5,58323,1156119.25,15-NOV-2003,
MARICOIND,EQ,197,197,190.1,192,192.85,192.6,1154,222250.65,15-NOV-2003,
MARUTI,EQ,330,342,325.65,337.45,340.65,329.3,1843493,614910868.6,15-NOV-2003,
MASTEK,EQ,224,226,220.75,224.3,225.05,225.05,213375,47626318.6,15-NOV-2003,
MAX,EQ,94.5,99.95,94.5,98.7,99,95.55,19463,1897784.4,15-NOV-2003,
MCDOWELL-N,EQ,55.65,58.95,54.65,58,58.75,55.55,159119,9051295.15,15-NOV-2003,
MEDIAVIDEO,BE,6.25,6.4,6.25,6.35,6.4,6.15,600,3790,15-NOV-2003,
MELSTAR,EQ,13.3,13.7,13.15,13.5,13.35,13.25,5206,69592.3,15-NOV-2003,
MICO,EQ,10101,10550,10001,10530.25,10545,10501.7,149,1558291,15-NOV-2003,
MID-DAY,EQ,29,30,29,29.9,30,29.25,3828,112486.75,15-NOV-2003,
MIRCELECTR,EQ,274,274,264.5,266.1,269,266.35,7168,1911558.8,15-NOV-2003,
