SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
VDOLEASE,EQ,11.3,11.3,11.3,11.3,11.3,12.3,914,10328.2,22-MAR-2003,
VESUVIUS,EQ,66.75,67.7,65.7,67.45,66.7,66.35,83154,5583554.55,22-MAR-2003,
VIJAYABANK,EQ,15,15,14.7,14.95,15,14.75,80188,1197823.2,22-MAR-2003,
VINDHYATEL,EQ,16.55,16.7,16.55,16.6,16.55,16.45,530,8788.3,22-MAR-2003,
VINTAGE,EQ,6.25,6.25,6.05,6.1,6.25,6.2,3125,19138.9,22-MAR-2003,
VINYLCHEM,EQ,5.5,5.55,5.4,5.4,5.4,5.35,2700,14910,22-MAR-2003,
VIPIND,EQ,17.8,17.8,17.8,17.8,17.8,18.05,70,1246,22-MAR-2003,
VISAKAIND,EQ,20.7,21.6,20.5,21.3,21.6,21,3063,64500,22-MAR-2003,
VISESHINFO,EQ,4.55,4.55,4.35,4.45,4.5,4.4,1930,8576,22-MAR-2003,
VISIONLTD,EQ,1.05,1.25,1.05,1.15,1.2,1.05,62327,70620.45,22-MAR-2003,
VISUALSOFT,EQ,170.9,172.3,169,171.05,172,167.2,1706762,291508636.2,22-MAR-2003,
VOLTAS,EQ,52.3,53.9,52.05,52.65,53,52.65,9440,496846.05,22-MAR-2003,
VSNL,EQ,80.5,82.85,80.05,80.7,80.9,79.65,144368,11647012.25,22-MAR-2003,
VSTIND,EQ,93,93,93,93,93,92.3,9749,906657,22-MAR-2003,
VXL,EQ,2.7,3,2.7,2.9,3,3,2810,7987.5,22-MAR-2003,
VYSYABANK,EQ,256,258.7,252.1,255.05,252.1,255.65,2784,711997.65,22-MAR-2003,
WALCHANNAG,EQ,28.95,29.95,28.95,29.95,29.95,28.8,150,4466.25,22-MAR-2003,
WARTSILA,EQ,110.05,114.7,110.05,114.7,114.7,111.05,2,224.75,22-MAR-2003,
WELLWININD,EQ,10.2,10.7,10.2,10.5,10.45,10,9401,98381.25,22-MAR-2003,
WESTHATCH,EQ,52,52,50.05,50.5,50.05,51.15,1166,59253.1,22-MAR-2003,
WHEELS,EQ,72,72,72,72,72,74,1124,80928,22-MAR-2003,
WILLAMAGOR,EQ,8,8.5,8,8.5,8.5,8.5,175,1462.5,22-MAR-2003,
WIMCO,EQ,31.25,31.65,30.7,31.25,31.5,31.05,8047,251840.95,22-MAR-2003,
WIPRO,EQ,1398,1424.9,1395,1417.3,1421,1376.65,288050,407504027.05,22-MAR-2003,
WOCKLIFE,EQ,22.85,22.85,22,22.1,22.1,22,8355,186094.5,22-MAR-2003,
WOCKPHARMA,EQ,430,430,419,419.7,419.1,419.3,2043,863496.1,22-MAR-2003,
WSTCSTPAPR,EQ,90,90,90,90,90,87.75,100,9000,22-MAR-2003,
WYETHLEDE,EQ,202,202,197.1,198.1,198.1,197.5,4602,912341.2,22-MAR-2003,
YOKOGAWA,EQ,46,54.5,46,51.35,51.15,45.5,43345,2169616.1,22-MAR-2003,
ZEETELE,EQ,74.6,75.25,73.8,74.3,74.4,73.55,782897,58226269.6,22-MAR-2003,
ZENITHCOMP,EQ,7.3,7.65,7.25,7.55,7.55,7.1,6200,46492.5,22-MAR-2003,
ZENITHINFO,EQ,10.5,11.25,10.5,11.15,11.25,10.95,1750,18918.75,22-MAR-2003,
ZODIACLOTH,EQ,62.05,62.15,62.05,62.1,62.1,65.75,200,12420,22-MAR-2003,
ZUARIAGRO,EQ,19.5,19.7,19.3,19.5,19.7,19.55,5884,114546.2,22-MAR-2003,
