SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
BIRLAERIC,EQ,10.4,11,10.4,10.45,10.5,10.65,7457,79540.4,28-SEP-2012,61,INE800A01015,
BIRLAMONEY,EQ,13.7,14.5,13.7,14.1,14.1,13.95,2945,41683.55,28-SEP-2012,22,INE865C01022,
BIRLAPOWER,BE,0.35,0.4,0.35,0.35,0.4,0.35,1233078,478073.5,28-SEP-2012,241,INE224B01024,
BLBLIMITED,EQ,3.7,3.7,3.5,3.5,3.5,3.55,5401,19143.7,28-SEP-2012,12,INE791A01024,
BLISSGVS,EQ,42.8,44,42,43.7,43.1,43,96567,4181430,28-SEP-2012,631,INE416D01022,
BLKASHYAP,EQ,9.7,10.1,9.25,10,10.05,9.85,93262,929435.45,28-SEP-2012,283,INE350H01032,
BLUECHIP,EQ,0.65,0.7,0.6,0.6,0.6,0.7,20979,13604.9,28-SEP-2012,21,INE657B01025,
BLUECOAST,EQ,118.9,118.9,118.9,118.9,118.9,113.25,2,237.8,28-SEP-2012,1,INE472B01011,
BLUEDART,EQ,1690,1740,1644.1,1720.3,1739.9,1698,606,1038079.35,28-SEP-2012,213,INE233B01017,
BLUESTARCO,EQ,181,182,179,179.9,180.6,180.25,60163,10831457.5,28-SEP-2012,1422,INE472A01039,
BLUESTINFO,EQ,69.4,72.3,69,70.5,71,68.25,7347,519941.85,28-SEP-2012,338,INE504B01011,
BOC,EQ,437,456,437,447.4,446.25,441.15,26571,11960793.4,28-SEP-2012,821,INE473A01011,
BODALCHEM,EQ,10.6,11.1,10.35,11.1,11.1,10.6,2322,25088.25,28-SEP-2012,12,INE338D01028,
BODHTREE,BE,21.85,21.85,21.85,21.85,21.85,23,66,1442.1,28-SEP-2012,1,INE104F01011,
BOMDYEING,EQ,496.55,506.8,490.25,492.95,491.5,491.5,285069,142202035.9,28-SEP-2012,8450,INE032A01015,
BOSCHLTD,EQ,8630,8880,8601.15,8730.6,8880,8681.25,20399,177949301.1,28-SEP-2012,2433,INE323A01026,
BPCL,EQ,347.85,358.5,345,348.7,351.5,346.85,659991,229429166.35,28-SEP-2012,14145,INE029A01011,
BPL,EQ,17.3,20.5,17,19.65,19.8,17.35,403624,7756212.3,28-SEP-2012,1521,INE110A01019,
BRANDHOUSE,EQ,14.35,14.8,13.8,14,14.1,14.15,36866,528184.3,28-SEP-2012,196,INE317J01011,
BRFL,EQ,262.5,277.9,262.5,268.55,268,270.95,11920,3181549.95,28-SEP-2012,340,INE589G01011,
BRIGADE,EQ,58,60.55,58,59.05,59.75,58.65,26025,1545247.6,28-SEP-2012,486,INE791I01019,
BRITANNIA,EQ,482.8,488.85,473.4,475.75,479.4,480.45,99615,47656503.35,28-SEP-2012,6378,INE216A01022,
BRITANNIA,N1,174.02,178,174.02,178,178,175,50,8708.95,28-SEP-2012,4,INE216A07045,
BROADCAST,EQ,8,8,7.8,8,8,8,385,3045,28-SEP-2012,6,INE698H01018,
BROOKS,EQ,18,19.2,18,18.3,18.1,18.25,61108,1142641.95,28-SEP-2012,353,INE650L01011,
BSELINFRA,EQ,3,3.2,3,3.1,3.15,3.05,55360,171151.25,28-SEP-2012,107,INE395A01016,
BSL,EQ,14.5,14.5,14,14,14,14.35,3000,42300,28-SEP-2012,7,INE594B01012,
BSLGOLDETF,EQ,3130,3130,3095.7,3100,3100,3134,5,15585.7,28-SEP-2012,4,INF209K01HT2,
BSLNIFTY,EQ,51,52.5,51,52.5,52.5,51.87,247,12822,28-SEP-2012,4,INF209K01IR4,
BSTRANSCOM,EQ,209.9,213,203.25,204.25,204.1,207.85,82193,17077235.2,28-SEP-2012,1265,INE043K01011,
BURNPUR,EQ,7.25,7.6,7.25,7.35,7.5,7.25,38208,281539.4,28-SEP-2012,117,INE817H01014,
