SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
INDIACEM,EQ,42.25,42.85,42.1,42.45,42.8,41.85,192308,8146156.15,17-APR-2004,
INDIAFOILS,EQ,7.8,8.5,7.8,8.45,8.5,7.85,13052,105789.15,17-APR-2004,
INDIANCARD,EQ,80.05,82,80.05,81.85,81.9,80,1117,90798.25,17-APR-2004,
INDIANHUME,EQ,2775,2800,2725,2731.85,2800,2849,197,538175,17-APR-2004,
INDORAMA,EQ,67.9,70,67.75,69.65,69,68.1,65670,4554980.1,17-APR-2004,
INDORAMTEX,EQ,24.2,25,24.2,24.65,24.65,24.55,7269,178242.45,17-APR-2004,
INDRAMEDCO,EQ,19,19.8,19,19.65,19.7,19.05,27309,533381.65,17-APR-2004,
INDRAYON,EQ,221,229,221,228.65,228.05,220.65,44311,10093769.3,17-APR-2004,
INDSHAVING,EQ,561.4,572.9,561.4,571.7,571.7,563.8,54,30632.5,17-APR-2004,
INDSWFTLAB,EQ,46.95,47,46.15,46.9,46.95,46.65,44047,2058523.9,17-APR-2004,
INDUSINDBK,EQ,46.35,47.25,46,46.95,47.25,45.95,355360,16607586,17-APR-2004,
INFOSYSTCH,EQ,5400,5408.25,5363,5393.65,5400.15,5389.85,92783,499950206.35,17-APR-2004,
INFOTECENT,EQ,131.2,131.4,128.55,130.15,131,130.45,147313,19130553.1,17-APR-2004,
INGERRAND,EQ,227.05,228,223,225.1,224.35,228,3991,897439.7,17-APR-2004,
INVESTCORP,EQ,218.8,219.95,209.15,211.75,213,209.75,5744,1219895,17-APR-2004,
IOB,EQ,68.85,71.7,67,69.4,69.8,67.9,2411442,166948309.85,17-APR-2004,
IOC,EQ,565.1,566,559.1,560.95,564.1,563.55,168180,94567329.7,17-APR-2004,
IOL,EQ,38.1,40.45,38.1,39.55,39.7,38.25,50740,2000416.3,17-APR-2004,
IPCALAB,EQ,690,708,690,696.65,700.2,698.25,5512,3850741.65,17-APR-2004,
IPCL,EQ,207,208.4,205.5,206.35,206.7,205.75,1039463,214983445.45,17-APR-2004,
IT&T,EQ,9.2,9.85,9.15,9.7,9.75,9.75,5875,56462.5,17-APR-2004,
ITC,EQ,1098.8,1098.8,1070.55,1075.7,1074,1086.8,49718,53771662.1,17-APR-2004,
ITCHOTEL,EQ,130.25,140,130.25,134.5,135,130.6,4121,555459.35,17-APR-2004,
ITI,EQ,16.35,18.25,16.05,17.9,18.15,16.3,193778,3335384.5,17-APR-2004,
IVC,EQ,35,36.5,35,36.4,36.35,35.55,3305,119169.25,17-APR-2004,
IVP,EQ,32.5,33.6,32.5,33.6,33.6,32.05,1162,38871.6,17-APR-2004,
IVRCLINFRA,EQ,212.75,212.95,208,208.9,210.3,212.1,25132,5274452.05,17-APR-2004,
J&KBANK,EQ,510,510,501,504.85,508,506.6,13702,6908921.7,17-APR-2004,
JAGSNPHARM,EQ,155,159.7,146.1,150.85,151,151.45,10611,1608820.3,17-APR-2004,
JAICORPLTD,EQ,90.35,93.5,90.35,93,93,92,200,18492.5,17-APR-2004,
JAINSTUDIO,EQ,16.3,17.2,16,17,17,16.15,11478,191770.05,17-APR-2004,
JAYBARMARU,EQ,96,96.75,85,88.65,88,95.1,2424,220214.2,17-APR-2004,
JAYPEEHOT,EQ,19.5,22.15,19.5,21.9,22,19.2,71032,1516337.35,17-APR-2004,
JAYSREETEA,EQ,75,75,71.5,71.7,71.55,72.75,4210,306445.4,17-APR-2004,
JBCHEPHARM,EQ,331.75,333.5,330.1,330.6,330.5,332.45,5535,1835026.15,17-APR-2004,
JBFIND,EQ,42.3,43.5,41.6,43.2,43.2,42.35,2671,114779.6,17-APR-2004,
JCTELEC,EQ,3.55,4.15,3.55,3.95,4,3.8,25420,100490.75,17-APR-2004,
JENSONICOL,EQ,4.05,4.1,4.05,4.05,4.05,4.1,450,1827.5,17-APR-2004,
JIKINDS,EQ,9.55,9.85,8.85,9.1,9.05,8.6,18952,172023.25,17-APR-2004,
JINDALFOTO,EQ,46.5,49,46.15,48.25,48.9,46.3,62237,2963222.05,17-APR-2004,
JINDALIRON,EQ,210.5,211,207.1,209.25,210,208.25,118325,24714265.95,17-APR-2004,
JINDALPOLY,EQ,330.1,335,330,335,335,330,1150,379635,17-APR-2004,
JINDALSTEL,EQ,494.5,494.5,486.5,492.15,492,489.3,4151,2034352.8,17-APR-2004,
JINDVIJSTL,EQ,9.2,9.5,9.1,9.4,9.5,9.2,782403,7282057.9,17-APR-2004,
JISLJALEQS,EQ,70.2,77.5,70.2,75.6,76,72.9,99730,7546348.35,17-APR-2004,
JSTAINLESS,EQ,70.65,71,69.5,69.9,70,70.05,96180,6736239.4,17-APR-2004,
JSTRIPS,EQ,158.1,160.95,158,159.6,160,159.6,2334,372316.65,17-APR-2004,
JUBILANT,EQ,685,700,680,697.05,700,683.75,4605,3198497.95,17-APR-2004,
JUNIORBEES,EQ,38.5,40,38.5,39,39,37.56,203,7868.4,17-APR-2004,
JYOTISTRUC,EQ,100.55,109,100.5,107.9,106.8,100.3,25124,2664094.8,17-APR-2004,
KABRAEXTRU,EQ,58,59.5,58,59.05,59.3,58.2,2510,148250.75,17-APR-2004,
KAJARIACER,EQ,75.55,82,75.55,80.3,82,78.9,39162,3119455.9,17-APR-2004,
KAKATCEM,EQ,47.85,47.85,44.65,45.25,45.25,46.5,13897,639581.8,17-APR-2004,
KALECONSUL,EQ,37.2,38.45,37.2,38,37.7,38.15,6220,236169.6,17-APR-2004,
KALPATPOWR,EQ,87.5,89.8,86.9,88.6,89.8,85,4650,410137.5,17-APR-2004,
KAMATHOTEL,EQ,17.9,17.9,17.4,17.4,17.4,16.6,400,7090,17-APR-2004,
KANORICHEM,EQ,58.8,58.8,58.8,58.8,58.8,59.45,112,6585.6,17-APR-2004,
KARURVYSYA,EQ,395.9,395.9,388.8,390.8,391.85,390.4,4046,1583562.25,17-APR-2004,
KCP,EQ,24.1,26.5,24.05,26.1,26.5,26,1170,29566,17-APR-2004,
KCPSUGIND,EQ,52.6,52.6,45.25,47.95,48.75,43.9,7838,366453.4,17-APR-2004,
KECINTL,EQ,85.85,90.45,85,88.95,89.3,85.45,586503,51934121.8,17-APR-2004,
KESORAMIND,EQ,68.4,69.85,64.55,67.9,68,63.95,170278,11528301.85,17-APR-2004,
KEYCORPSER,EQ,3.2,4.7,3.2,4.7,4.7,4,300,1190,17-APR-2004,
KHAITANELE,EQ,12,12,11.5,11.65,11.65,11.7,695,8193.5,17-APR-2004,
KHAITANLTD,EQ,6,8.35,6,8.35,8.35,7.2,120,978.5,17-APR-2004,
KIRLOSKCUM,EQ,124.25,124.25,119.5,122.35,122.1,121.95,21618,2625227.35,17-APR-2004,
KIRLOSOIL,EQ,275,275,275,275,275,275.55,11,3025,17-APR-2004,
KITPLYIND,EQ,4.1,4.6,4.05,4.5,4.55,4.3,27524,121101.55,17-APR-2004,
KLGSYSTEL,EQ,35.5,36.5,35.5,36.25,36.2,37.4,960,34558,17-APR-2004,
KOPDRUGS,EQ,23.4,23.4,22.55,22.8,22.9,22.65,5725,130621.55,17-APR-2004,
KOPRAN,EQ,62,62,57.75,58.85,58.5,57.8,40738,2397162.05,17-APR-2004,
KOTAKBANK,EQ,405,408,403,406.5,406.5,405.45,7520,3052591.65,17-APR-2004,
KOTHARIPET,EQ,1.8,1.85,1.75,1.8,1.85,1.65,2006,3610.7,17-APR-2004,
KOTHARIPRO,EQ,185,185,179.6,179.6,179.6,181.3,205,37398,17-APR-2004,
KOTHARISUG,EQ,7.25,7.25,6.25,7.1,7,6.1,27404,184757.15,17-APR-2004,
KPIT,EQ,274.9,289.9,269,287.65,286,269.35,75725,21477063.25,17-APR-2004,
KRBL,EQ,48.55,49,47.25,48.05,47.25,48.5,11082,535780.15,17-APR-2004,
KRISHNAENG,BE,4,4.95,3.9,3.9,3.9,4.3,13450,62207.5,17-APR-2004,
KSBPUMPS,EQ,105,105.8,103,104.3,105,103.15,1554,162743,17-APR-2004,
KTKBANK,EQ,136,136.7,134.5,135.55,135.95,135.35,121184,16419281.1,17-APR-2004,
L&T,EQ,615,615,600.2,602.05,601,606.7,201534,121703902.3,17-APR-2004,
LAKME,EQ,251,260,242.4,252.6,254.7,244.95,14418,3647956.75,17-APR-2004,
LAKSHVILAS,EQ,159,161,156,159.7,160.5,155.5,42208,6697325.2,17-APR-2004,
LANESEDA,EQ,0.6,0.7,0.6,0.65,0.7,0.65,25693,17039.1,17-APR-2004,
LAXMIMACH,EQ,5169,5354.75,5136,5354.75,5354.75,5099.75,480,2541612.2,17-APR-2004,
LCCINFOTEC,EQ,2.6,2.9,2.6,2.9,2.9,2.7,1020,2772,17-APR-2004,
LEADEDSYS,EQ,11.8,11.9,11.4,11.9,11.9,11.6,23297,275481.8,17-APR-2004,
LGBROS,EQ,17.5,18.2,17.4,17.95,18,17.3,33584,593927.1,17-APR-2004,
LIBERTSHOE,EQ,145,155,145,150,148.6,143.45,10004,1504259.3,17-APR-2004,
LICHSGFIN,EQ,198.45,201.9,197.15,200.45,200.1,197.65,48204,9621957.1,17-APR-2004,
LLOYDFIN,EQ,0.65,0.75,0.65,0.65,0.75,0.7,20214,13843.4,17-APR-2004,
LLOYDSTEEL,EQ,4.1,4.25,4.05,4.2,4.2,4.1,144908,603712.25,17-APR-2004,
LML,EQ,34.8,36.7,34.8,36.35,36.7,35.2,163559,5901371.4,17-APR-2004,
LUMAXIND,EQ,62.5,64.45,62.5,63.8,64.45,62.45,4896,310197.5,17-APR-2004,
LUPIN,EQ,750,759.5,735,740.15,745,742.15,15724,11761634.4,17-APR-2004,
LYKALABS,EQ,43.25,45.4,43.25,44.65,44.75,44.05,27654,1234854.6,17-APR-2004,
M&M,EQ,487.4,487.4,476.2,478.25,479,482.4,226120,108509421.65,17-APR-2004,
MAARSOFTW,EQ,15.95,15.95,15.05,15.1,15.05,15.45,35156,534409.45,17-APR-2004,
MACMILLAN,EQ,279.8,279.8,273,273.65,274,277.2,1246,344143.3,17-APR-2004,
MADRASCEM,EQ,830,855,830,850.3,855,824.5,522,442099.35,17-APR-2004,
MADRASFERT,EQ,16.5,17.55,16.5,17.4,17.5,16.6,105123,1813005.75,17-APR-2004,
MAHABANK,EQ,40.05,44.45,40,43.35,43.7,40,6606600,282748006.7,17-APR-2004,
MAHAVIRSPG,EQ,154.9,158,150.1,151.25,151.9,151.75,11029,1678891.35,17-APR-2004,
MAHINDUGIN,EQ,23.2,23.5,22.8,23.1,23,23.15,12044,279142.5,17-APR-2004,
MAHSCOOTER,EQ,140,142,139.3,140.95,141,140.3,3205,450600,17-APR-2004,
MAHSEAMLES,EQ,185.7,186.9,182,185.3,185,182.4,9481,1744266.25,17-APR-2004,
MALWACOTT,EQ,35.5,36,34.55,34.6,34.6,35.55,972,34446.95,17-APR-2004,
MANALIPET,EQ,4.5,5.2,4.5,5.15,5.05,4.55,145684,713998.55,17-APR-2004,
MANGLMCEM,EQ,18.7,18.7,18.1,18.3,18.25,18.45,17600,323765,17-APR-2004,
MANGTIMBER,EQ,3.3,3.4,3.05,3.05,3.05,3,2650,8807.5,17-APR-2004,
MARALOVER,EQ,17.8,18.9,17.75,18.5,18.5,18.1,13148,240222.55,17-APR-2004,
MARDIACHEM,EQ,1.8,2.1,1.8,1.95,2.1,2.15,2451,4803.45,17-APR-2004,
MARICOIND,EQ,257,271.75,256.4,269.45,270,258.75,10226,2716290.15,17-APR-2004,
MARUTI,EQ,543,544.9,539.55,540.95,541,541.65,512387,277892096.2,17-APR-2004,
MASTEK,EQ,245,245,238,240.7,243.5,240.85,173989,41828050.25,17-APR-2004,
MAX,EQ,142.1,143.6,140.2,142.5,143,141,38966,5527627.55,17-APR-2004,
MCDOWELL-N,EQ,60.8,64.8,60.25,64.1,64.2,59.9,331130,20836854.45,17-APR-2004,
MEDIAVIDEO,BE,9.5,9.6,8.8,9.55,9.6,8.7,12641,118673.3,17-APR-2004,
MELSTAR,EQ,13,13,12.25,12.8,12.9,12.3,4562,57865.25,17-APR-2004,
MICO,EQ,13485,13547,13000,13404.7,13402,13569,25,332586.65,17-APR-2004,
MICRO,EQ,561.15,580.5,561.15,576.3,575,578.75,636,366628.5,17-APR-2004,
MID-DAY,EQ,34.3,34.9,33.5,33.9,34.25,34.55,27531,943613.5,17-APR-2004,
MIRCELECTR,EQ,30.7,31.25,30.4,31,30.8,30.45,48426,1498122.5,17-APR-2004,
MIRZATAN,EQ,65,69.5,64.15,67.85,68,63.95,26479,1791002.85,17-APR-2004,
MONSANTO,EQ,1369,1393,1368.05,1381.55,1371,1348.25,3453,4803574.75,17-APR-2004,
MORARJESPG,EQ,45.15,45.15,45.15,45.15,45.15,43,251,11332.65,17-APR-2004,
MOREPENHTL,EQ,14.2,15.25,14,14.6,15.25,14,1780,25601.8,17-APR-2004,
MOREPENLAB,EQ,7.4,7.65,7.4,7.6,7.55,7.5,210613,1587327.85,17-APR-2004,
MORGANSTAN,EQ,18.4,18.85,18.4,18.65,18.7,18.7,219788,4096758.55,17-APR-2004,
MOSERBAER,EQ,312,312.7,305,308.3,309.1,308.35,65729,20318488.3,17-APR-2004,
MOTHERSUMI,EQ,50.4,51.7,50.4,50.8,50.5,50.35,6495,330611,17-APR-2004,
MRF,EQ,1720,1720,1674,1676.05,1680,1697.65,823,1383723.5,17-APR-2004,
MRO-TEK,EQ,15,15.6,14.85,15.35,15.6,14.85,19717,299604.4,17-APR-2004,
MRPL,EQ,59.35,59.7,58.5,59.2,59.5,59,715568,42380332.8,17-APR-2004,
MTNL,EQ,152,154.25,150.55,151.8,151.7,151.55,1337231,204418556.05,17-APR-2004,
MUKANDENGG,EQ,9,10.1,8.8,9.55,9.55,9.65,301,2934.55,17-APR-2004,
MUKANDLTD,EQ,16.35,17.35,16,17,17.2,16.05,33403,562656,17-APR-2004,
MUKTAARTS,EQ,53.85,55.15,53.85,54.75,55,54.7,6401,350019.65,17-APR-2004,
MUNJALAUTO,EQ,86.5,89,86.5,88.75,89,88.6,4601,407022,17-APR-2004,
MUNJALSHOW,EQ,225,237.5,225,235.2,237.5,224.8,4130,961053.15,17-APR-2004,
MYSORECEM,EQ,9.65,10,9.35,9.85,10,9.55,73888,718439.55,17-APR-2004,
NAGARCONST,EQ,174.25,175.5,170.05,171.55,172.4,171.7,8617,1489206.45,17-APR-2004,
NAGARFERT,EQ,9,9.3,8.9,9.05,9,8.85,678177,6156636.95,17-APR-2004,
NAGPURENG,EQ,8.5,8.9,8.5,8.9,8.9,8.1,740,6370,17-APR-2004,
NAHAREXP,EQ,31.5,32.8,29.1,32.6,32.65,32,11369,366778.9,17-APR-2004,
NAHARINTL,EQ,9.1,9.95,9.1,9.75,9.7,9.6,1670,16049.5,17-APR-2004,
